Problem,Link,Platform,Difficulty,Priority
Binary Search,https://leetcode.com/problems/binary-search/description/,LeetCode,Easy,Class
Implement Lower Bound,https://www.geeksforgeeks.org/problems/implement-lower-bound/1,GFG,Easy,Class
Implement Upper Bound,https://www.geeksforgeeks.org/problems/implement-upper-bound/1,GFG,Easy,Class
Search Insert Position,https://leetcode.com/problems/search-insert-position/description/,LeetCode,Easy,Class
First Bad Version,https://leetcode.com/problems/first-bad-version/description/,LeetCode,Easy,Class
Guess Number Higher or Lower,https://leetcode.com/problems/guess-number-higher-or-lower/description/,LeetCode,Easy,Class
Count Negative Numbers in a Sorted Matrix,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix/description/,LeetCode,Easy,HW
Find Smallest Letter Greater Than Target,https://leetcode.com/problems/find-smallest-letter-greater-than-target/description/,LeetCode,Easy,Class
Check If N and Its Double Exist,https://leetcode.com/problems/check-if-n-and-its-double-exist/description/,LeetCode,Easy,HW
Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description/,LeetCode,Medium,Class
Find Peak Element,https://leetcode.com/problems/find-peak-element/description/,LeetCode,Medium,Class
Rotation Count in Sorted Array,https://www.geeksforgeeks.org/problems/rotation4723/1,GFG,Medium,Class
Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description/,LeetCode,Medium,Class
Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/description/,LeetCode,Medium,Class
Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array/description/,LeetCode,Medium,Class
Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/description/,LeetCode,Medium,Class
Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/description/,LeetCode,Medium,HW
Find a Peak Element II,https://leetcode.com/problems/find-a-peak-element-ii/description/,LeetCode,Hard,Class
Median in a Row-wise Sorted Matrix,https://www.geeksforgeeks.org/problems/median-in-a-row-wise-sorted-matrix1527/1,GFG,Hard,Class
