Problem,Link,Platform,Difficulty,Priority
Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,LeetCode,Easy,Class
Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,LeetCode,Easy,Class
Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,LeetCode,Easy,Class
Preorder Traversal,https://www.geeksforgeeks.org/problems/preorder-traversal/1,GFG,Easy,Class
Inorder Traversal,https://www.geeksforgeeks.org/problems/inorder-traversal/1,GFG,Easy,Class
Postorder Traversal,https://www.geeksforgeeks.org/problems/postorder-traversal/1,GFG,Easy,HW
Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,LeetCode,Medium,Class
Level Order Traversal,https://www.geeksforgeeks.org/problems/level-order-traversal/1,GFG,Easy,Class
Level Order Traversal Line by Line,https://www.geeksforgeeks.org/problems/level-order-traversal-line-by-line/1,GFG,Easy,Class
Average of Levels in Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree/,LeetCode,Easy,HW
Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,LeetCode,Easy,Class
Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/,LeetCode,Easy,Class
Height of Binary Tree,https://www.geeksforgeeks.org/problems/height-of-binary-tree/1,GFG,Easy,Class
Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,LeetCode,Easy,Class
Count Nodes in Binary Tree,https://leetcode.com/problems/count-complete-tree-nodes/,LeetCode,Easy,Class
Count Leaves in Binary Tree,https://www.geeksforgeeks.org/problems/count-leaves-in-binary-tree/1,GFG,Easy,Class
Check Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,LeetCode,Easy,Class
Check Identical Trees,https://www.geeksforgeeks.org/problems/determine-if-two-trees-are-identical/1,GFG,Easy,HW
Root to Leaf Paths,https://www.geeksforgeeks.org/problems/root-to-leaf-paths/1,GFG,Medium,Class
Path Sum,https://leetcode.com/problems/path-sum/,LeetCode,Easy,Class
Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,LeetCode,Hard,Class
Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/,LeetCode,Medium,HW
Left View of Binary Tree,https://www.geeksforgeeks.org/problems/left-view-of-binary-tree/1,GFG,Easy,Class
Right View of Binary Tree,https://www.geeksforgeeks.org/problems/right-view-of-binary-tree/1,GFG,Easy,Class
Top View of Binary Tree,https://www.geeksforgeeks.org/problems/top-view-of-binary-tree/1,GFG,Medium,Class
Bottom View of Binary Tree,https://www.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1,GFG,Medium,Class
Boundary Traversal of Binary Tree,https://www.geeksforgeeks.org/problems/boundary-traversal-of-binary-tree/1,GFG,Medium,Class
Vertical Order Traversal,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,LeetCode,Hard,Class
Morris Inorder Traversal,https://www.geeksforgeeks.org/problems/inorder-traversal-without-recursion/1,GFG,Medium,HW
Search in BST,https://leetcode.com/problems/search-in-a-binary-search-tree/,LeetCode,Easy,Class
Insert into BST,https://leetcode.com/problems/insert-into-a-binary-search-tree/,LeetCode,Medium,Class
Delete Node in BST,https://leetcode.com/problems/delete-node-in-a-bst/,LeetCode,Medium,Class
Validate BST,https://leetcode.com/problems/validate-binary-search-tree/,LeetCode,Medium,Class
Lowest Common Ancestor in BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,LeetCode,Easy,Class
Kth Smallest in BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,LeetCode,Medium,Class
BST to Sorted Array,https://www.geeksforgeeks.org/problems/binary-tree-to-bst/1,GFG,Medium,HW
Two Sum in BST,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,LeetCode,Easy,HW
Construct Tree from Preorder and Inorder,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,LeetCode,Medium,Class
Construct Tree from Inorder and Postorder,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,LeetCode,Medium,Class
Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,LeetCode,Hard,Class
