title,link,platform,resource_type,pattern,subpattern,difficulty,priority,topic
Introduction to Graph Data Structure,https://www.geeksforgeeks.org/graph-data-structure-and-algorithms/,,,,,,,GRAPH
Graph Representation (Adjacency List & Matrix),https://www.geeksforgeeks.org/graph-and-its-representations/,,,,,,,GRAPH
Breadth First Search (BFS),https://www.geeksforgeeks.org/breadth-first-search-or-bfs-for-a-graph/,,,,,,,GRAPH
Depth First Search (DFS),https://www.geeksforgeeks.org/depth-first-search-or-dfs-for-a-graph/,,,,,,,GRAPH
Topological Sorting,https://www.geeksforgeeks.org/topological-sorting/,,,,,,,GRAPH
Shortest Path Algorithms (Dijkstra & BFS),https://www.geeksforgeeks.org/dijkstras-shortest-path-algorithm-greedy-algo-7/,,,,,,,GRAPH
Minimum Spanning Tree (Primâs & Kruskalâs),https://www.geeksforgeeks.org/minimum-spanning-tree-mst-greedy-algo-5/,,,,,,,GRAPH
Disjoint Set Union (Union-Find),https://www.geeksforgeeks.org/disjoint-set-data-structures/,,,,,,,GRAPH
Problem (BFS + DFS),Link,,,,,,,GRAPH
Graph Representation (Adj List),https://www.geeksforgeeks.org/problems/adjacency-list/1,,,,,,,GRAPH
BFS Traversal of Graph,https://www.geeksforgeeks.org/problems/bfs-traversal-of-graph/1,,,,,,,GRAPH
DFS Traversal of Graph,https://www.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1,,,,,,,GRAPH
Number of Provinces,https://leetcode.com/problems/number-of-provinces/,,,,,,,GRAPH
Connected Components,https://www.geeksforgeeks.org/problems/connected-components-in-an-undirected-graph/1,,,,,,,GRAPH
Find if Path Exists in Graph,https://leetcode.com/problems/find-if-path-exists-in-graph/,,,,,,,GRAPH
Keys and Rooms,https://leetcode.com/problems/keys-and-rooms/,,,,,,,GRAPH
Clone Graph,https://leetcode.com/problems/clone-graph/,,,,,,,GRAPH
All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target/,,,,,,,GRAPH
,,,,,,,,GRAPH
Problem (Matrix BFS/DFS),Link,,,,,,,GRAPH
Number of Islands,https://leetcode.com/problems/number-of-islands/,,,,,,,GRAPH
Max Area of Island,https://leetcode.com/problems/max-area-of-island/,,,,,,,GRAPH
Flood Fill,https://leetcode.com/problems/flood-fill/,,,,,,,GRAPH
Rotten Oranges,https://leetcode.com/problems/rotting-oranges/,,,,,,,GRAPH
01 Matrix,https://leetcode.com/problems/01-matrix/,,,,,,,GRAPH
Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,,,,,,,GRAPH
Number of Enclaves,https://leetcode.com/problems/number-of-enclaves/,,,,,,,GRAPH
Island Perimeter,https://leetcode.com/problems/island-perimeter/,,,,,,,GRAPH
Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix/,,,,,,,GRAPH
Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,,,,,,,GRAPH
As Far from Land as Possible,https://leetcode.com/problems/as-far-from-land-as-possible/,,,,,,,GRAPH
,,,,,,,,GRAPH
Problem (Topological Sort),Link,,,,,,,GRAPH
Topological Sort (DFS),https://www.geeksforgeeks.org/problems/topological-sort/1,,,,,,,GRAPH
Topological Sort (Kahn's Algo),https://www.geeksforgeeks.org/problems/topological-sort/1,,,,,,,GRAPH
Course Schedule,https://leetcode.com/problems/course-schedule/,,,,,,,GRAPH
Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,,,,,,,GRAPH
Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states/,,,,,,,GRAPH
Parallel Courses,https://leetcode.com/problems/parallel-courses/,,,,,,,GRAPH
Parallel Courses II,https://leetcode.com/problems/parallel-courses-ii/,,,,,,,GRAPH
Course Schedule IV,https://leetcode.com/problems/course-schedule-iv/,,,,,,,GRAPH
Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees/,,,,,,,GRAPH
,,,,,,,,GRAPH
Problem (Shortest Path),Link,,,,,,,GRAPH
Shortest Path in Undirected Graph,https://www.geeksforgeeks.org/problems/shortest-path-in-undirected-graph/1,,,,,,,GRAPH
Dijkstra Algorithm,https://www.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1,,,,,,,GRAPH
Network Delay Time,https://leetcode.com/problems/network-delay-time/,,,,,,,GRAPH
Bellman Ford,https://www.geeksforgeeks.org/problems/bellman-ford/1,,,,,,,GRAPH
Floyd Warshall,https://www.geeksforgeeks.org/problems/implementing-floyd-warshall2042/1,,,,,,,GRAPH
Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort/,,,,,,,GRAPH
Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water/,,,,,,,GRAPH
Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,,,,,,,GRAPH
Shortest Path Visiting All Nodes,https://leetcode.com/problems/shortest-path-visiting-all-nodes/,,,,,,,GRAPH
,,,,,,,,GRAPH
Problem (Minimum Spanning Tree),Link,,,,,,,GRAPH
Prim's Algorithm,https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1,,,,,,,GRAPH
Kruskal Algorithm,https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1,,,,,,,GRAPH
Connecting Cities With Minimum Cost,https://leetcode.com/problems/connecting-cities-with-minimum-cost/,,,,,,,GRAPH
Optimize Water Distribution,https://leetcode.com/problems/optimize-water-distribution-in-a-village/,,,,,,,GRAPH
,,,,,,,,GRAPH
Problem (Disjoint Set Union (DSU)),Link,,,,,,,GRAPH
Disjoint Set Implementation,https://www.geeksforgeeks.org/problems/disjoint-set-union-find/1,,,,,,,GRAPH
Number of Operations to Make Network Connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected/,,,,,,,GRAPH
Accounts Merge,https://leetcode.com/problems/accounts-merge/,,,,,,,GRAPH
Redundant Connection,https://leetcode.com/problems/redundant-connection/,,,,,,,GRAPH
Most Stones Removed,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/,,,,,,,GRAPH
Smallest String With Swaps,https://leetcode.com/problems/smallest-string-with-swaps/,,,,,,,GRAPH
Number of Islands II,https://leetcode.com/problems/number-of-islands-ii/,,,,,,,GRAPH
Similar String Groups,https://leetcode.com/problems/similar-string-groups/,,,,,,,GRAPH
