Problem,Link,Platform,Difficulty,Priority
Implement Stack using Array,https://www.geeksforgeeks.org/problems/implement-stack-using-array/1,GFG,Easy,Class
Implement Stack using Linked List,https://www.geeksforgeeks.org/problems/implement-stack-using-linked-list/1,GFG,Easy,Class
Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,LeetCode,Easy,Class
Min Stack,https://leetcode.com/problems/min-stack/,LeetCode,Medium,Class
Reverse a Stack,https://www.geeksforgeeks.org/problems/reverse-a-stack/1,GFG,Medium,HW
Sort a Stack,https://www.geeksforgeeks.org/problems/sort-a-stack/1,GFG,Medium,HW
Implement Queue using Array,https://www.geeksforgeeks.org/problems/implement-queue-using-array/1,GFG,Easy,Class
Implement Queue using Linked List,https://www.geeksforgeeks.org/problems/implement-queue-using-linked-list/1,GFG,Easy,Class
Implement Queue using Stack,https://leetcode.com/problems/implement-queue-using-stacks/,LeetCode,Easy,Class
Circular Queue,https://www.geeksforgeeks.org/problems/circular-queue/1,GFG,Medium,Class
First Negative Integer in Window,https://www.geeksforgeeks.org/problems/first-negative-integer-in-every-window-of-size-k/1,GFG,Medium,HW
Next Greater Element I,https://leetcode.com/problems/next-greater-element-i/,LeetCode,Easy,Class
Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii/,LeetCode,Medium,Class
Previous Greater Element,https://www.geeksforgeeks.org/problems/previous-greater-element/1,GFG,Easy,Class
Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,LeetCode,Medium,Class
Stock Span Problem,https://www.geeksforgeeks.org/problems/stock-span-problem/1,GFG,Medium,Class
Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,LeetCode,Hard,Class
Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,LeetCode,Hard,HW
Kth Largest Element in Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,LeetCode,Medium,Class
Kth Smallest Element,https://www.geeksforgeeks.org/problems/kth-smallest-element/1,GFG,Medium,Class
Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,LeetCode,Medium,Class
Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,LeetCode,Hard,Class
Nearly Sorted Array,https://www.geeksforgeeks.org/problems/nearly-sorted-algorithm/1,GFG,Medium,Class
Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,LeetCode,Hard,HW
Connect Ropes to Minimize Cost,https://www.geeksforgeeks.org/problems/minimum-cost-of-ropes/1,GFG,Medium,Class
Task Scheduler,https://leetcode.com/problems/task-scheduler/,LeetCode,Medium,Class
Reorganize String,https://leetcode.com/problems/reorganize-string/,LeetCode,Medium,Class
Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,LeetCode,Hard,Class
Smallest Range Covering Elements,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/,LeetCode,Hard,HW
