Problem,Link,Platform,Difficulty,Priority
Key Pair,https://www.geeksforgeeks.org/problems/key-pair5616/1,GFG,Easy,Class
Valid Palindrome,https://leetcode.com/problems/valid-palindrome/description/,LeetCode,Easy,Class
Remove Duplicate Elements from Sorted Array,https://www.geeksforgeeks.org/problems/remove-duplicate-elements-from-sorted-array/1,GFG,Easy,Class
Reverse String,https://leetcode.com/problems/reverse-string/description/,LeetCode,Easy,Class
Reverse String with Spaces Intact,https://www.geeksforgeeks.org/problems/reverse-a-string-with-spaces-intact5213/1,GFG,Easy,Class
Move All Zeroes to End,https://www.geeksforgeeks.org/problems/move-all-zeroes-to-end-of-array0751/1,GFG,Easy,Class
Remove Element,https://leetcode.com/problems/remove-element/description/,LeetCode,Easy,Class
Reverse Vowels of a String,https://leetcode.com/problems/reverse-vowels-of-a-string/description/,LeetCode,Easy,Class
Reverse Only Letters,https://leetcode.com/problems/reverse-only-letters/description/,LeetCode,Easy,Class
Reverse Prefix of Word,https://leetcode.com/problems/reverse-prefix-of-word/description/,LeetCode,Easy,HW
Reverse String II,https://leetcode.com/problems/reverse-string-ii/description/,LeetCode,Easy,HW
Reverse Words in a String III,https://leetcode.com/problems/reverse-words-in-a-string-iii/description/,LeetCode,Easy,HW
Flipping an Image,https://leetcode.com/problems/flipping-an-image/description/,LeetCode,Easy,Class
Sort Array by Parity,https://leetcode.com/problems/sort-array-by-parity/description/,LeetCode,Easy,Class
Sort Array by Parity II,https://leetcode.com/problems/sort-array-by-parity-ii/description/,LeetCode,Easy,HW
Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/description/,LeetCode,Medium,Class
Minimum Length of String After Deleting Similar Ends,https://leetcode.com/problems/minimum-length-of-string-after-deleting-similar-ends/description/,LeetCode,Medium,Class
Bag of Tokens,https://leetcode.com/problems/bag-of-tokens/description/,LeetCode,Medium,Class
Boats to Save People,https://leetcode.com/problems/boats-to-save-people/description/,LeetCode,Medium,Class
Maximum Distance Between a Pair of Values,https://leetcode.com/problems/maximum-distance-between-a-pair-of-values/description/,LeetCode,Medium,Class
Sort Colors,https://leetcode.com/problems/sort-colors/description/,LeetCode,Medium,Class
Minimize Maximum Pair Sum in Array,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array/description/,LeetCode,Medium,Class
3Sum,https://leetcode.com/problems/3sum/description/,LeetCode,Medium,Class
3Sum Closest,https://leetcode.com/problems/3sum-closest/description/,LeetCode,Medium,Class
4Sum,https://leetcode.com/problems/4sum/description/,LeetCode,Medium,Class
Two Sum II Input Array is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,LeetCode,Medium,Class
Container With Most Water,https://leetcode.com/problems/container-with-most-water/,LeetCode,Medium,Class
Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,LeetCode,Hard,Class
