Problem,Link,Platform,Pattern,Difficulty,Priority
Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,LeetCode,Linear DP,Easy,Class
Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,LeetCode,Linear DP,Easy,Class
Frog Jump,https://atcoder.jp/contests/dp/tasks/dp_a,AtCoder,Linear DP,Easy,Class
Frog Jump K Distance,https://atcoder.jp/contests/dp/tasks/dp_b,AtCoder,Linear DP,Easy,Class
House Robber,https://leetcode.com/problems/house-robber/,LeetCode,Linear DP,Easy,Class
House Robber II,https://leetcode.com/problems/house-robber-ii/,LeetCode,Linear DP,Medium,Class
House Robber III,https://leetcode.com/problems/house-robber-iii/,LeetCode,Linear DP,Medium,Class
Maximum Sum of Non-Adjacent Elements,https://www.geeksforgeeks.org/problems/max-sum-without-adjacents2430/1,GFG,Linear DP,Easy,Class
Jump Game,https://leetcode.com/problems/jump-game/,LeetCode,Linear DP,Easy,Class
Jump Game II,https://leetcode.com/problems/jump-game-ii/,LeetCode,Linear DP,Medium,Class
Decode Ways,https://leetcode.com/problems/decode-ways/,LeetCode,Linear DP,Medium,Class
Count Ways to Reach Nth Stair,https://www.geeksforgeeks.org/problems/count-ways-to-reach-the-nth-stair-1587115620/1,GFG,Linear DP,Easy,Class
Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray/,LeetCode,Linear DP,Medium,Class
Subset Sum Problem,https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1,GFG,Knapsack,Easy,Class
Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,LeetCode,Knapsack,Medium,Class
Perfect Sum Problem,https://www.geeksforgeeks.org/problems/perfect-sum-problem5633/1,GFG,Knapsack,Medium,Class
Minimum Subset Sum Difference,https://www.geeksforgeeks.org/problems/minimum-sum-partition3317/1,GFG,Knapsack,Medium,Class
Count Subsets With Given Difference,https://www.geeksforgeeks.org/problems/count-number-of-subsets-with-given-difference/1,GFG,Knapsack,Medium,Class
Target Sum,https://leetcode.com/problems/target-sum/,LeetCode,Knapsack,Medium,Class
0/1 Knapsack Classic,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1,GFG,Knapsack,Easy,Class
Unbounded Knapsack,https://www.geeksforgeeks.org/problems/unbounded-knapsack/1,GFG,Knapsack,Medium,Class
Rod Cutting Problem,https://www.geeksforgeeks.org/problems/rod-cutting0840/1,GFG,Knapsack,Medium,Class
Coin Change Minimum Coins,https://leetcode.com/problems/coin-change/,LeetCode,Knapsack,Medium,Class
